article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
45996977,ATTEMPT BY AVIATORS ON PERTH-SYDNEY RECORD FLIGHT DELAYED 24 HOURS OWING TO BAD WEATHER,53,"Barrier Miner (Broken Hill, NSW : 1888 - 1954)",2,1927-01-27,Article,500,N,0,http://nla.gov.au/nla.news-article45996977,http://trove.nla.gov.au/newspaper/page/3285752
53480119,AIRSHIPS IDEAL FOR AUSTRALIA Sir G. Wilkins Enthusiastic PERTH TO SYDNEY IN 50 HOURS,90,"The Register News-Pictorial (Adelaide, SA : 1929 - 1931)",4,1929-08-08,Article,269,N,0,http://nla.gov.au/nla.news-article53480119,http://trove.nla.gov.au/newspaper/page/4577123
91075824,Kingsford Smith's Record-Breaking Flight ACROSS CONTINENT IN 10 HOURS Perth To Sydney AVERAGE OF 229 MILES,291,"Chronicle (Adelaide, SA : 1895 - 1954)",34,1934-09-13,Article,290,N,0,http://nla.gov.au/nla.news-article91075824,http://trove.nla.gov.au/newspaper/page/8671098
97204383,PERTH-SYDNEY MOTOR CAR RECORD. Dr. Manning beats Wizard Smith's Record by 11 Hours 51 Minutes.,373,"Southern Argus (Port Elliot, SA : 1866 - 1954)",4,1929-10-17,Article,208,N,0,http://nla.gov.au/nla.news-article97204383,http://trove.nla.gov.au/newspaper/page/9493888
117053579,A QUICK JOURNEY Sydney to Perth in Thirty-Five Hours by Air and Rail,451,"The Farmer and Settler (Sydney, NSW : 1906 - 1955)",13,1929-10-11,Article,145,N,0,http://nla.gov.au/nla.news-article117053579,http://trove.nla.gov.au/newspaper/page/11736508
97810044,PERTH-SYDNEY MOTOR CAR RECORD. DR. MANNING BEATS WIZARD SMITH'S RECORD BY 11 HOURS 51 MINUTES.,372,"Northern Argus (Clare, SA : 1869 - 1954)",2,1929-10-11,Article,207,N,2,http://nla.gov.au/nla.news-article97810044,http://trove.nla.gov.au/newspaper/page/9609431
124958731,PERTH-SYDNEY MOTOR CAR RECORD. Dr. Manning Beats Wizard Smith's Record by 11 hours 51 minutes.,404,"The Times and Northern Advertiser, Peterborough, South Australia (SA : 1919 - 1950)",3,1929-10-11,Article,203,N,4,http://nla.gov.au/nla.news-article124958731,http://trove.nla.gov.au/newspaper/page/10667556
164898677,AIRSHIPS IDEAL FOR AUSTRALIA Sir C. Wilkins- Enthusiastic PERTH TO SYDNEY IN 50 HOURS,823,"Observer (Adelaide, SA : 1905 - 1931)",35,1929-08-17,Article,212,N,0,http://nla.gov.au/nla.news-article164898677,http://trove.nla.gov.au/newspaper/page/19315510
185754998,"WORLD RECORD FLIGHT BY SKYMASTER YESTERDAY Perth-Melbourne 6 hours 6 minutes (BY WIRE) SYDNEY, Monday.",632,The West Wyalong Advocate (NSW : 1928 - 1954),1,1946-02-25,Article,109,N,0,http://nla.gov.au/nla.news-article185754998,http://trove.nla.gov.au/newspaper/page/21313712
190816636,PERTH-SYDNEY MOTOR CAR RECORD DR. MANNING BEATS WIZARD SMITH’S RECORD BY 11 HOURS 51 MINUTES,896,Pinnaroo and Border Times (SA : 1911 - 1954),2,1929-10-18,Article,208,N,0,http://nla.gov.au/nla.news-article190816636,http://trove.nla.gov.au/newspaper/page/20773803
